,Drug_1,Drug_2,Correlation
1304,BI-2536,GSK690693,-424.0
1305,BI-2536,GW-2580,-1290.0
1306,BI-2536,Ibrutinib (PCI-32765),-227.0
1307,BI-2536,Idelalisib,-710.0
1308,BI-2536,Imatinib,-744.0
1309,BI-2536,INK-128,-1359.0
1310,BI-2536,JAK Inhibitor I,-623.0
1311,BI-2536,JNJ-28312141,-959.0
1312,BI-2536,JNJ-38877605,-380.0
1313,BI-2536,JNJ-7706621,-978.0
1314,BI-2536,JQ1,-252.0
1315,BI-2536,KI20227,-570.0
1316,BI-2536,KU-55933,-373.0
1317,BI-2536,KW-2449,-565.0
1318,BI-2536,Lapatinib,-354.0
1319,BI-2536,Lenalidomide,-374.0
1320,BI-2536,Lenvatinib,-283.0
1321,BI-2536,Lestaurtinib (CEP-701),-600.0
1322,BI-2536,Linifanib (ABT-869),-547.0
1323,BI-2536,Lovastatin,-859.0
1324,BI-2536,LY-333531,-364.0
1325,BI-2536,Masitinib (AB-1010),-926.0
1326,BI-2536,MGCD-265,-73.0
1327,BI-2536,Midostaurin,-700.0
1328,BI-2536,MK-2206,-796.0
1329,BI-2536,MLN120B,-525.0
1330,BI-2536,MLN8054,-1088.0
1331,BI-2536,Motesanib (AMG-706),-526.0
1332,BI-2536,Neratinib (HKI-272),-709.0
1333,BI-2536,NF-kB Activation Inhibitor,-590.0
1334,BI-2536,Nilotinib,-1153.0
1335,BI-2536,Nutlin 3a,-676.0
1336,BI-2536,NVP-ADW742,-390.0
1337,BI-2536,NVP-TAE684,-578.0
1338,BI-2536,Palbociclib,-480.0
1339,BI-2536,Panobinostat,-1460.0
1340,BI-2536,Pazopanib (GW786034),-798.0
1341,BI-2536,PD173955,-1553.0
1342,BI-2536,Pelitinib (EKB-569),-357.0
1343,BI-2536,PHA-665752,-418.0
1344,BI-2536,PHT-427,-920.0
1345,BI-2536,PI-103,-585.0
1346,BI-2536,PLX-4720,-1199.0
1347,BI-2536,Ponatinib (AP24534),-179.0
1348,BI-2536,PP242,-800.0
1349,BI-2536,PRT062607,-464.0
1350,BI-2536,Quizartinib (AC220),-357.0
1351,BI-2536,RAF265 (CHIR-265),-483.0
1352,BI-2536,Rapamycin,-1259.0
1353,BI-2536,Regorafenib (BAY 73-4506),-240.0
1354,BI-2536,Roscovitine (CYC-202),-417.0
1355,BI-2536,Ruxolitinib (INCB018424),-1227.0
1356,BI-2536,S31-201,-1384.0
1357,BI-2536,Saracatinib (AZD0530),-900.0
1358,BI-2536,SB-431542,-979.0
1359,BI-2536,Selinexor,-300.0
1360,BI-2536,Selumetinib (AZD6244),-1210.0
1361,BI-2536,SGX-523,-474.0
1362,BI-2536,SNS-032 (BMS-387032),-1190.0
1363,BI-2536,Sorafenib,-291.0
1364,BI-2536,SR9011,-95.0
1365,BI-2536,Staurosporine,-1697.0
1366,BI-2536,STO609,-479.0
1367,BI-2536,SU11274,-333.0
1368,BI-2536,Sunitinib,-706.0
1369,BI-2536,Tandutinib (MLN518),-438.0
1370,BI-2536,TG100-115,-518.0
1371,BI-2536,TG101348,-597.0
1372,BI-2536,Tivozanib (AV-951),-849.0
1373,BI-2536,Tofacitinib (CP-690550),-1235.0
1374,BI-2536,Tozasertib (VX-680),-148.0
1375,BI-2536,Trametinib (GSK1120212),-1315.0
1376,BI-2536,Vandetanib (ZD6474),-495.0
1377,BI-2536,Vargetef,-925.0
1378,BI-2536,Vatalanib (PTK787),-552.0
1379,BI-2536,Vemurafenib (PLX-4032),-271.0
1380,BI-2536,Venetoclax,-303.0
1381,BI-2536,Vismodegib (GDC-0449),-271.0
1382,BI-2536,Volasertib (BI-6727),463.0
1383,BI-2536,VX-745,-285.0
1384,BI-2536,XAV-939,-1310.0
1385,BI-2536,YM-155,-448.0
1386,BMS-345541,Bortezomib (Velcade),-1534.0
1387,BMS-345541,Bosutinib (SKI-606),-1012.0
1388,BMS-345541,Cabozantinib,-825.0
1389,BMS-345541,Canertinib (CI-1033),-1006.0
1390,BMS-345541,Cediranib (AZD2171),-1096.0
1391,BMS-345541,CHIR-99021,-1066.0
1392,BMS-345541,CI-1040 (PD184352),-691.0
1393,BMS-345541,Crenolanib,-909.0
1394,BMS-345541,Crizotinib (PF-2341066),-842.0
1395,BMS-345541,CYT387,-416.0
1396,BMS-345541,Dasatinib,-750.0
1397,BMS-345541,DBZ,-988.0
1398,BMS-345541,Doramapimod (BIRB 796),-1462.0
1399,BMS-345541,Dovitinib (CHIR-258),-518.0
1400,BMS-345541,Elesclomol,-2049.0
1401,BMS-345541,Entospletinib (GS-9973),-1303.0
1402,BMS-345541,Entrectinib,-539.0
1403,BMS-345541,Erlotinib,-579.0
1404,BMS-345541,Flavopiridol,1655.0
1405,BMS-345541,Foretinib (XL880),-733.0
1406,BMS-345541,GDC-0879,-727.0
1407,BMS-345541,GDC-0941,-498.0
1408,BMS-345541,Gefitinib,-432.0
1409,BMS-345541,Gilteritinib (ASP-2215),-572.0
1410,BMS-345541,Go6976,-486.0
1411,BMS-345541,GSK-1838705A,-855.0
1412,BMS-345541,GSK-1904529A,-894.0
1413,BMS-345541,GSK690693,-928.0
1414,BMS-345541,GW-2580,-1359.0
1415,BMS-345541,Ibrutinib (PCI-32765),-430.0
1416,BMS-345541,Idelalisib,-994.0
1417,BMS-345541,Imatinib,-721.0
1418,BMS-345541,INK-128,-1157.0
1419,BMS-345541,JAK Inhibitor I,-1034.0
1420,BMS-345541,JNJ-28312141,-812.0
1421,BMS-345541,JNJ-38877605,-769.0
1422,BMS-345541,JNJ-7706621,743.0
1423,BMS-345541,JQ1,-418.0
1424,BMS-345541,KI20227,-852.0
1425,BMS-345541,KU-55933,-682.0
1426,BMS-345541,KW-2449,-727.0
1427,BMS-345541,Lapatinib,-839.0
1428,BMS-345541,Lenalidomide,-660.0
1429,BMS-345541,Lenvatinib,-775.0
1430,BMS-345541,Lestaurtinib (CEP-701),-949.0
1431,BMS-345541,Linifanib (ABT-869),-243.0
1432,BMS-345541,Lovastatin,-1538.0
1433,BMS-345541,LY-333531,-578.0
1434,BMS-345541,Masitinib (AB-1010),-1160.0
1435,BMS-345541,MGCD-265,-453.0
1436,BMS-345541,Midostaurin,-844.0
1437,BMS-345541,MK-2206,-1085.0
1438,BMS-345541,MLN120B,476.0
1439,BMS-345541,MLN8054,-1418.0
1440,BMS-345541,Motesanib (AMG-706),-473.0
1441,BMS-345541,Neratinib (HKI-272),-1321.0
1442,BMS-345541,NF-kB Activation Inhibitor,1164.0
1443,BMS-345541,Nilotinib,-1148.0
1444,BMS-345541,Nutlin 3a,-433.0
1445,BMS-345541,NVP-ADW742,-1446.0
1446,BMS-345541,NVP-TAE684,-1123.0
1447,BMS-345541,Palbociclib,-676.0
1448,BMS-345541,Panobinostat,-1648.0
1449,BMS-345541,Pazopanib (GW786034),-1117.0
1450,BMS-345541,PD173955,-1084.0
1451,BMS-345541,Pelitinib (EKB-569),-492.0
1452,BMS-345541,PHA-665752,-1515.0
1453,BMS-345541,PHT-427,-1046.0
1454,BMS-345541,PI-103,-503.0
1455,BMS-345541,PLX-4720,-751.0
1456,BMS-345541,Ponatinib (AP24534),-597.0
1457,BMS-345541,PP242,-832.0
1458,BMS-345541,PRT062607,-633.0
1459,BMS-345541,Quizartinib (AC220),-754.0
1460,BMS-345541,RAF265 (CHIR-265),-701.0
1461,BMS-345541,Rapamycin,-1660.0
1462,BMS-345541,Regorafenib (BAY 73-4506),-422.0
1463,BMS-345541,Roscovitine (CYC-202),384.0
1464,BMS-345541,Ruxolitinib (INCB018424),-1045.0
1465,BMS-345541,S31-201,-2129.0
1466,BMS-345541,Saracatinib (AZD0530),-1340.0
1467,BMS-345541,SB-431542,-1573.0
1468,BMS-345541,Selinexor,-274.0
1469,BMS-345541,Selumetinib (AZD6244),-1667.0
1470,BMS-345541,SGX-523,-562.0
1471,BMS-345541,SNS-032 (BMS-387032),1156.0
1472,BMS-345541,Sorafenib,-399.0
1473,BMS-345541,SR9011,-553.0
1474,BMS-345541,Staurosporine,-1099.0
1475,BMS-345541,STO609,-895.0
1476,BMS-345541,SU11274,-783.0
1477,BMS-345541,Sunitinib,-1094.0
1478,BMS-345541,Tandutinib (MLN518),-622.0
1479,BMS-345541,TG100-115,-754.0
1480,BMS-345541,TG101348,-428.0
1481,BMS-345541,Tivozanib (AV-951),-690.0
1482,BMS-345541,Tofacitinib (CP-690550),-1439.0
1483,BMS-345541,Tozasertib (VX-680),-690.0
1484,BMS-345541,Trametinib (GSK1120212),-1839.0
1485,BMS-345541,Vandetanib (ZD6474),-891.0
1486,BMS-345541,Vargetef,-1377.0
1487,BMS-345541,Vatalanib (PTK787),-914.0
1488,BMS-345541,Vemurafenib (PLX-4032),-671.0
1489,BMS-345541,Venetoclax,-471.0
1490,BMS-345541,Vismodegib (GDC-0449),-597.0
1491,BMS-345541,Volasertib (BI-6727),-587.0
1492,BMS-345541,VX-745,-607.0
1493,BMS-345541,XAV-939,-1662.0
1494,BMS-345541,YM-155,-217.0
1495,Bortezomib (Velcade),Bosutinib (SKI-606),-899.0
1496,Bortezomib (Velcade),Cabozantinib,-1088.0
1497,Bortezomib (Velcade),Canertinib (CI-1033),-539.0
1498,Bortezomib (Velcade),Cediranib (AZD2171),-1453.0
1499,Bortezomib (Velcade),CHIR-99021,-1538.0
1500,Bortezomib (Velcade),CI-1040 (PD184352),-989.0
1501,Bortezomib (Velcade),Crenolanib,-1004.0
1502,Bortezomib (Velcade),Crizotinib (PF-2341066),-1126.0
1503,Bortezomib (Velcade),CYT387,-783.0
1504,Bortezomib (Velcade),Dasatinib,-1456.0
1505,Bortezomib (Velcade),DBZ,-774.0
1506,Bortezomib (Velcade),Doramapimod (BIRB 796),-1624.0
1507,Bortezomib (Velcade),Dovitinib (CHIR-258),-621.0
1508,Bortezomib (Velcade),Elesclomol,-2172.0
1509,Bortezomib (Velcade),Entospletinib (GS-9973),-1054.0
1510,Bortezomib (Velcade),Entrectinib,-685.0
1511,Bortezomib (Velcade),Erlotinib,-410.0
1512,Bortezomib (Velcade),Flavopiridol,-1933.0
1513,Bortezomib (Velcade),Foretinib (XL880),-851.0
1514,Bortezomib (Velcade),GDC-0879,-892.0
1515,Bortezomib (Velcade),GDC-0941,-1182.0
1516,Bortezomib (Velcade),Gefitinib,-437.0
1517,Bortezomib (Velcade),Gilteritinib (ASP-2215),-946.0
1518,Bortezomib (Velcade),Go6976,-584.0
1519,Bortezomib (Velcade),GSK-1838705A,-947.0
1520,Bortezomib (Velcade),GSK-1904529A,-742.0
1521,Bortezomib (Velcade),GSK690693,-656.0
1522,Bortezomib (Velcade),GW-2580,-1490.0
1523,Bortezomib (Velcade),Ibrutinib (PCI-32765),-1095.0
1524,Bortezomib (Velcade),Idelalisib,-1636.0
1525,Bortezomib (Velcade),Imatinib,-805.0
1526,Bortezomib (Velcade),INK-128,-1493.0
1527,Bortezomib (Velcade),JAK Inhibitor I,-1195.0
1528,Bortezomib (Velcade),JNJ-28312141,-1034.0
1529,Bortezomib (Velcade),JNJ-38877605,-304.0
1530,Bortezomib (Velcade),JNJ-7706621,-1034.0
1531,Bortezomib (Velcade),JQ1,-1128.0
1532,Bortezomib (Velcade),KI20227,-1356.0
1533,Bortezomib (Velcade),KU-55933,-861.0
1534,Bortezomib (Velcade),KW-2449,-701.0
1535,Bortezomib (Velcade),Lapatinib,-844.0
1536,Bortezomib (Velcade),Lenalidomide,-422.0
1537,Bortezomib (Velcade),Lenvatinib,-801.0
1538,Bortezomib (Velcade),Lestaurtinib (CEP-701),-987.0
1539,Bortezomib (Velcade),Linifanib (ABT-869),-1263.0
1540,Bortezomib (Velcade),Lovastatin,-1539.0
1541,Bortezomib (Velcade),LY-333531,-616.0
1542,Bortezomib (Velcade),Masitinib (AB-1010),-1423.0
1543,Bortezomib (Velcade),MGCD-265,-1134.0
1544,Bortezomib (Velcade),Midostaurin,-1455.0
1545,Bortezomib (Velcade),MK-2206,-1105.0
1546,Bortezomib (Velcade),MLN120B,-867.0
1547,Bortezomib (Velcade),MLN8054,-1022.0
1548,Bortezomib (Velcade),Motesanib (AMG-706),-857.0
1549,Bortezomib (Velcade),Neratinib (HKI-272),-800.0
1550,Bortezomib (Velcade),NF-kB Activation Inhibitor,-788.0
1551,Bortezomib (Velcade),Nilotinib,-1615.0
1552,Bortezomib (Velcade),Nutlin 3a,-689.0
1553,Bortezomib (Velcade),NVP-ADW742,-670.0
1554,Bortezomib (Velcade),NVP-TAE684,-848.0
1555,Bortezomib (Velcade),Palbociclib,-358.0
1556,Bortezomib (Velcade),Panobinostat,-1359.0
1557,Bortezomib (Velcade),Pazopanib (GW786034),-1344.0
1558,Bortezomib (Velcade),PD173955,-1593.0
1559,Bortezomib (Velcade),Pelitinib (EKB-569),-374.0
1560,Bortezomib (Velcade),PHA-665752,-772.0
1561,Bortezomib (Velcade),PHT-427,-1132.0
1562,Bortezomib (Velcade),PI-103,-1097.0
1563,Bortezomib (Velcade),PLX-4720,-1297.0
1564,Bortezomib (Velcade),Ponatinib (AP24534),-879.0
1565,Bortezomib (Velcade),PP242,-887.0
1566,Bortezomib (Velcade),PRT062607,-1047.0
1567,Bortezomib (Velcade),Quizartinib (AC220),-984.0
1568,Bortezomib (Velcade),RAF265 (CHIR-265),-398.0
1569,Bortezomib (Velcade),Rapamycin,-1839.0
1570,Bortezomib (Velcade),Regorafenib (BAY 73-4506),-735.0
1571,Bortezomib (Velcade),Roscovitine (CYC-202),-460.0
1572,Bortezomib (Velcade),Ruxolitinib (INCB018424),-1435.0
1573,Bortezomib (Velcade),S31-201,-1906.0
1574,Bortezomib (Velcade),Saracatinib (AZD0530),-1311.0
1575,Bortezomib (Velcade),SB-431542,-1257.0
1576,Bortezomib (Velcade),Selinexor,-405.0
1577,Bortezomib (Velcade),Selumetinib (AZD6244),-1737.0
1578,Bortezomib (Velcade),SGX-523,-767.0
1579,Bortezomib (Velcade),SNS-032 (BMS-387032),-2161.0
1580,Bortezomib (Velcade),Sorafenib,-531.0
1581,Bortezomib (Velcade),SR9011,-292.0
1582,Bortezomib (Velcade),Staurosporine,-1270.0
1583,Bortezomib (Velcade),STO609,-610.0
1584,Bortezomib (Velcade),SU11274,-325.0
1585,Bortezomib (Velcade),Sunitinib,-1034.0
1586,Bortezomib (Velcade),Tandutinib (MLN518),-676.0
1587,Bortezomib (Velcade),TG100-115,-839.0
1588,Bortezomib (Velcade),TG101348,-638.0
1589,Bortezomib (Velcade),Tivozanib (AV-951),-1057.0
1590,Bortezomib (Velcade),Tofacitinib (CP-690550),-1480.0
1591,Bortezomib (Velcade),Tozasertib (VX-680),-948.0
1592,Bortezomib (Velcade),Trametinib (GSK1120212),-1816.0
1593,Bortezomib (Velcade),Vandetanib (ZD6474),-1093.0
1594,Bortezomib (Velcade),Vargetef,-1036.0
1595,Bortezomib (Velcade),Vatalanib (PTK787),-593.0
1596,Bortezomib (Velcade),Vemurafenib (PLX-4032),-226.0
1597,Bortezomib (Velcade),Venetoclax,-596.0
1598,Bortezomib (Velcade),Vismodegib (GDC-0449),-708.0
1599,Bortezomib (Velcade),Volasertib (BI-6727),-527.0
1600,Bortezomib (Velcade),VX-745,-1433.0
1601,Bortezomib (Velcade),XAV-939,-1174.0
1602,Bortezomib (Velcade),YM-155,-757.0
1603,Bosutinib (SKI-606),Cabozantinib,-1432.0
1604,Bosutinib (SKI-606),Canertinib (CI-1033),-1280.0
1605,Bosutinib (SKI-606),Cediranib (AZD2171),-970.0
1606,Bosutinib (SKI-606),CHIR-99021,-838.0
1607,Bosutinib (SKI-606),CI-1040 (PD184352),-955.0
1608,Bosutinib (SKI-606),Crenolanib,-1324.0
1609,Bosutinib (SKI-606),Crizotinib (PF-2341066),-1237.0
1610,Bosutinib (SKI-606),CYT387,-1682.0
1611,Bosutinib (SKI-606),Dasatinib,760.0
1612,Bosutinib (SKI-606),DBZ,-854.0
1613,Bosutinib (SKI-606),Doramapimod (BIRB 796),-668.0
1614,Bosutinib (SKI-606),Dovitinib (CHIR-258),-1628.0
1615,Bosutinib (SKI-606),Elesclomol,-1176.0
1616,Bosutinib (SKI-606),Entospletinib (GS-9973),-1282.0
1617,Bosutinib (SKI-606),Entrectinib,-908.0
1618,Bosutinib (SKI-606),Erlotinib,-911.0
1619,Bosutinib (SKI-606),Flavopiridol,-694.0
1620,Bosutinib (SKI-606),Foretinib (XL880),903.0
1621,Bosutinib (SKI-606),GDC-0879,-1233.0
1622,Bosutinib (SKI-606),GDC-0941,-288.0
1623,Bosutinib (SKI-606),Gefitinib,-713.0
1624,Bosutinib (SKI-606),Gilteritinib (ASP-2215),-1174.0
1625,Bosutinib (SKI-606),Go6976,-618.0
1626,Bosutinib (SKI-606),GSK-1838705A,-1495.0
1627,Bosutinib (SKI-606),GSK-1904529A,-1271.0
1628,Bosutinib (SKI-606),GSK690693,-1482.0
1629,Bosutinib (SKI-606),GW-2580,-1578.0
1630,Bosutinib (SKI-606),Ibrutinib (PCI-32765),952.0
1631,Bosutinib (SKI-606),Idelalisib,-1265.0
1632,Bosutinib (SKI-606),Imatinib,1490.0
1633,Bosutinib (SKI-606),INK-128,-824.0
1634,Bosutinib (SKI-606),JAK Inhibitor I,-1132.0
1635,Bosutinib (SKI-606),JNJ-28312141,-2437.0
1636,Bosutinib (SKI-606),JNJ-38877605,-1421.0
1637,Bosutinib (SKI-606),JNJ-7706621,-1226.0
1638,Bosutinib (SKI-606),JQ1,-540.0
1639,Bosutinib (SKI-606),KI20227,-1374.0
1640,Bosutinib (SKI-606),KU-55933,-980.0
1641,Bosutinib (SKI-606),KW-2449,1210.0
1642,Bosutinib (SKI-606),Lapatinib,-1192.0
1643,Bosutinib (SKI-606),Lenalidomide,-593.0
1644,Bosutinib (SKI-606),Lenvatinib,-1316.0
1645,Bosutinib (SKI-606),Lestaurtinib (CEP-701),1071.0
1646,Bosutinib (SKI-606),Linifanib (ABT-869),-717.0
1647,Bosutinib (SKI-606),Lovastatin,-483.0
1648,Bosutinib (SKI-606),LY-333531,-1245.0
1649,Bosutinib (SKI-606),Masitinib (AB-1010),-1832.0
1650,Bosutinib (SKI-606),MGCD-265,-1055.0
1651,Bosutinib (SKI-606),Midostaurin,-1834.0
1652,Bosutinib (SKI-606),MK-2206,-559.0
1653,Bosutinib (SKI-606),MLN120B,-1514.0
1654,Bosutinib (SKI-606),MLN8054,-786.0
1655,Bosutinib (SKI-606),Motesanib (AMG-706),-1213.0
1656,Bosutinib (SKI-606),Neratinib (HKI-272),2313.0
1657,Bosutinib (SKI-606),NF-kB Activation Inhibitor,-1679.0
1658,Bosutinib (SKI-606),Nilotinib,427.0
1659,Bosutinib (SKI-606),Nutlin 3a,-1112.0
1660,Bosutinib (SKI-606),NVP-ADW742,-804.0
1661,Bosutinib (SKI-606),NVP-TAE684,1575.0
1662,Bosutinib (SKI-606),Palbociclib,-778.0
1663,Bosutinib (SKI-606),Panobinostat,-113.0
1664,Bosutinib (SKI-606),Pazopanib (GW786034),-1526.0
1665,Bosutinib (SKI-606),PD173955,526.0
1666,Bosutinib (SKI-606),Pelitinib (EKB-569),-1189.0
1667,Bosutinib (SKI-606),PHA-665752,-1041.0
1668,Bosutinib (SKI-606),PHT-427,-1152.0
1669,Bosutinib (SKI-606),PI-103,-942.0
1670,Bosutinib (SKI-606),PLX-4720,-716.0
1671,Bosutinib (SKI-606),Ponatinib (AP24534),1014.0
1672,Bosutinib (SKI-606),PP242,-1557.0
1673,Bosutinib (SKI-606),PRT062607,-1277.0
1674,Bosutinib (SKI-606),Quizartinib (AC220),-844.0
1675,Bosutinib (SKI-606),RAF265 (CHIR-265),-1473.0
1676,Bosutinib (SKI-606),Rapamycin,-1174.0
1677,Bosutinib (SKI-606),Regorafenib (BAY 73-4506),-1817.0
1678,Bosutinib (SKI-606),Roscovitine (CYC-202),-1233.0
1679,Bosutinib (SKI-606),Ruxolitinib (INCB018424),-538.0
1680,Bosutinib (SKI-606),S31-201,-1164.0
1681,Bosutinib (SKI-606),Saracatinib (AZD0530),-2349.0
1682,Bosutinib (SKI-606),SB-431542,-966.0
1683,Bosutinib (SKI-606),Selinexor,-530.0
1684,Bosutinib (SKI-606),Selumetinib (AZD6244),-314.0
1685,Bosutinib (SKI-606),SGX-523,-1307.0
1686,Bosutinib (SKI-606),SNS-032 (BMS-387032),-283.0
1687,Bosutinib (SKI-606),Sorafenib,-621.0
1688,Bosutinib (SKI-606),SR9011,-811.0
1689,Bosutinib (SKI-606),Staurosporine,-319.0
1690,Bosutinib (SKI-606),STO609,-1210.0
1691,Bosutinib (SKI-606),SU11274,-1249.0
1692,Bosutinib (SKI-606),Sunitinib,-1173.0
1693,Bosutinib (SKI-606),Tandutinib (MLN518),-921.0
1694,Bosutinib (SKI-606),TG100-115,-861.0
1695,Bosutinib (SKI-606),TG101348,58.0
1696,Bosutinib (SKI-606),Tivozanib (AV-951),-1599.0
1697,Bosutinib (SKI-606),Tofacitinib (CP-690550),-883.0
1698,Bosutinib (SKI-606),Tozasertib (VX-680),-520.0
1699,Bosutinib (SKI-606),Trametinib (GSK1120212),-346.0
1700,Bosutinib (SKI-606),Vandetanib (ZD6474),974.0
1701,Bosutinib (SKI-606),Vargetef,-2313.0
1702,Bosutinib (SKI-606),Vatalanib (PTK787),-1396.0
1703,Bosutinib (SKI-606),Vemurafenib (PLX-4032),-1456.0
1704,Bosutinib (SKI-606),Venetoclax,-964.0
1705,Bosutinib (SKI-606),Vismodegib (GDC-0449),-556.0
1706,Bosutinib (SKI-606),Volasertib (BI-6727),-662.0
1707,Bosutinib (SKI-606),VX-745,-1171.0
1708,Bosutinib (SKI-606),XAV-939,-1100.0
1709,Bosutinib (SKI-606),YM-155,-903.0
1710,Cabozantinib,Canertinib (CI-1033),-1539.0
1711,Cabozantinib,Cediranib (AZD2171),712.0
1712,Cabozantinib,CHIR-99021,-450.0
1713,Cabozantinib,CI-1040 (PD184352),-1306.0
1714,Cabozantinib,Crenolanib,1143.0
1715,Cabozantinib,Crizotinib (PF-2341066),1346.0
1716,Cabozantinib,CYT387,-1973.0
1717,Cabozantinib,Dasatinib,880.0
1718,Cabozantinib,DBZ,-1285.0
1719,Cabozantinib,Doramapimod (BIRB 796),674.0
1720,Cabozantinib,Dovitinib (CHIR-258),1938.0
1721,Cabozantinib,Elesclomol,-1117.0
1722,Cabozantinib,Entospletinib (GS-9973),-1269.0
1723,Cabozantinib,Entrectinib,-637.0
1724,Cabozantinib,Erlotinib,-890.0
1725,Cabozantinib,Flavopiridol,-569.0
1726,Cabozantinib,Foretinib (XL880),1874.0
1727,Cabozantinib,GDC-0879,-1680.0
1728,Cabozantinib,GDC-0941,-590.0
1729,Cabozantinib,Gefitinib,-771.0
1730,Cabozantinib,Gilteritinib (ASP-2215),-1592.0
1731,Cabozantinib,Go6976,-974.0
1732,Cabozantinib,GSK-1838705A,1423.0
1733,Cabozantinib,GSK-1904529A,-1449.0
1734,Cabozantinib,GSK690693,-1771.0
1735,Cabozantinib,GW-2580,1102.0
1736,Cabozantinib,Ibrutinib (PCI-32765),-1419.0
1737,Cabozantinib,Idelalisib,-1432.0
1738,Cabozantinib,Imatinib,-1058.0
1739,Cabozantinib,INK-128,-1016.0
1740,Cabozantinib,JAK Inhibitor I,-1749.0
1741,Cabozantinib,JNJ-28312141,1485.0
1742,Cabozantinib,JNJ-38877605,-1382.0
1743,Cabozantinib,JNJ-7706621,1095.0
1744,Cabozantinib,JQ1,-356.0
1745,Cabozantinib,KI20227,1049.0
1746,Cabozantinib,KU-55933,-1212.0
1747,Cabozantinib,KW-2449,1298.0
1748,Cabozantinib,Lapatinib,-1398.0
1749,Cabozantinib,Lenalidomide,-883.0
1750,Cabozantinib,Lenvatinib,1463.0
1751,Cabozantinib,Lestaurtinib (CEP-701),-1639.0
1752,Cabozantinib,Linifanib (ABT-869),1072.0
1753,Cabozantinib,Lovastatin,-823.0
1754,Cabozantinib,LY-333531,-1514.0
1755,Cabozantinib,Masitinib (AB-1010),-1198.0
1756,Cabozantinib,MGCD-265,2016.0
1757,Cabozantinib,Midostaurin,1992.0
1758,Cabozantinib,MK-2206,-582.0
1759,Cabozantinib,MLN120B,-1265.0
1760,Cabozantinib,MLN8054,-949.0
1761,Cabozantinib,Motesanib (AMG-706),890.0
1762,Cabozantinib,Neratinib (HKI-272),-1576.0
1763,Cabozantinib,NF-kB Activation Inhibitor,-1699.0
1764,Cabozantinib,Nilotinib,-409.0
1765,Cabozantinib,Nutlin 3a,-783.0
1766,Cabozantinib,NVP-ADW742,-1439.0
1767,Cabozantinib,NVP-TAE684,2007.0
1768,Cabozantinib,Palbociclib,-1336.0
1769,Cabozantinib,Panobinostat,-212.0
1770,Cabozantinib,Pazopanib (GW786034),1348.0
1771,Cabozantinib,PD173955,575.0
1772,Cabozantinib,Pelitinib (EKB-569),-1089.0
1773,Cabozantinib,PHA-665752,1232.0
1774,Cabozantinib,PHT-427,-717.0
1775,Cabozantinib,PI-103,-977.0
1776,Cabozantinib,PLX-4720,-658.0
1777,Cabozantinib,Ponatinib (AP24534),1530.0
1778,Cabozantinib,PP242,1315.0
1779,Cabozantinib,PRT062607,-1588.0
1780,Cabozantinib,Quizartinib (AC220),1994.0
1781,Cabozantinib,RAF265 (CHIR-265),-1286.0
1782,Cabozantinib,Rapamycin,-1631.0
1783,Cabozantinib,Regorafenib (BAY 73-4506),2159.0
1784,Cabozantinib,Roscovitine (CYC-202),-1239.0
1785,Cabozantinib,Ruxolitinib (INCB018424),-713.0
1786,Cabozantinib,S31-201,-746.0
1787,Cabozantinib,Saracatinib (AZD0530),-1711.0
1788,Cabozantinib,SB-431542,-1081.0
1789,Cabozantinib,Selinexor,-410.0
1790,Cabozantinib,Selumetinib (AZD6244),-510.0
1791,Cabozantinib,SGX-523,1306.0
1792,Cabozantinib,SNS-032 (BMS-387032),-644.0
1793,Cabozantinib,Sorafenib,1132.0
1794,Cabozantinib,SR9011,-1386.0
1795,Cabozantinib,Staurosporine,-127.0
1796,Cabozantinib,STO609,-884.0
1797,Cabozantinib,SU11274,-1361.0
1798,Cabozantinib,Sunitinib,1730.0
1799,Cabozantinib,Tandutinib (MLN518),775.0
1800,Cabozantinib,TG100-115,-947.0
1801,Cabozantinib,TG101348,-195.0
1802,Cabozantinib,Tivozanib (AV-951),1657.0
1803,Cabozantinib,Tofacitinib (CP-690550),-787.0
1804,Cabozantinib,Tozasertib (VX-680),1401.0
1805,Cabozantinib,Trametinib (GSK1120212),-884.0
1806,Cabozantinib,Vandetanib (ZD6474),1762.0
1807,Cabozantinib,Vargetef,-1824.0
1808,Cabozantinib,Vatalanib (PTK787),1532.0
1809,Cabozantinib,Vemurafenib (PLX-4032),-1152.0
1810,Cabozantinib,Venetoclax,-1433.0
1811,Cabozantinib,Vismodegib (GDC-0449),-999.0
1812,Cabozantinib,Volasertib (BI-6727),-880.0
1813,Cabozantinib,VX-745,-1199.0
1814,Cabozantinib,XAV-939,-994.0
1815,Cabozantinib,YM-155,-983.0
1816,Canertinib (CI-1033),Cediranib (AZD2171),-550.0
1817,Canertinib (CI-1033),CHIR-99021,-626.0
1818,Canertinib (CI-1033),CI-1040 (PD184352),-1155.0
1819,Canertinib (CI-1033),Crenolanib,-389.0
1820,Canertinib (CI-1033),Crizotinib (PF-2341066),-858.0
1821,Canertinib (CI-1033),CYT387,-1271.0
1822,Canertinib (CI-1033),Dasatinib,-386.0
1823,Canertinib (CI-1033),DBZ,-995.0
1824,Canertinib (CI-1033),Doramapimod (BIRB 796),-463.0
1825,Canertinib (CI-1033),Dovitinib (CHIR-258),-1462.0
1826,Canertinib (CI-1033),Elesclomol,-638.0
1827,Canertinib (CI-1033),Entospletinib (GS-9973),-1212.0
